,Date,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
0,2016-01-04,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
1,2016-01-05,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
2,2016-01-06,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
3,2016-01-07,49898.13688432615,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
4,2016-01-08,49803.612314917584,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
5,2016-01-09,49608.73700012907,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
6,2016-01-10,49608.73700012907,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
7,2016-01-11,49608.73700012907,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
8,2016-01-12,49043.15515310307,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
9,2016-01-13,48896.173710127885,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
10,2016-01-14,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
11,2016-01-15,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
12,2016-01-16,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
13,2016-01-17,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
14,2016-01-18,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
15,2016-01-19,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
16,2016-01-20,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
17,2016-01-21,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
18,2016-01-22,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
19,2016-01-23,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
20,2016-01-24,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
21,2016-01-25,48767.56421745917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
22,2016-01-26,48662.22375233222,50000.0,50000.0,49976.05641825317,49976.05641825317,49976.05641825317,50000.0,50000.0,50000.0,49976.05641825317
23,2016-01-27,48820.27490064215,50000.0,50000.0,49971.65338936858,49971.65338936858,49971.65338936858,50000.0,50000.0,50000.0,49971.65338936858
24,2016-01-28,48629.116820063224,50000.0,50000.0,49809.46862665632,49809.46862665632,49809.46862665632,50000.0,50000.0,50000.0,49809.46862665632
25,2016-01-29,48925.850327612316,50000.0,50000.0,49762.13382655959,49762.13382655959,49762.13382655959,50000.0,50000.0,50000.0,49762.13382655959
26,2016-01-30,49743.651263476175,50039.933618548894,50043.91875523733,49882.796738594334,49918.745220454795,49922.730357143235,50107.07507935619,50071.12659749573,50039.933618548894,49922.730357143235
27,2016-01-31,49743.651263476175,50039.933618548894,50043.91875523733,49882.796738594334,49918.745220454795,49922.730357143235,50107.07507935619,50071.12659749573,50039.933618548894,49922.730357143235
28,2016-02-01,49743.651263476175,50039.933618548894,50043.91875523733,49882.796738594334,49918.745220454795,49922.730357143235,50107.07507935619,50071.12659749573,50039.933618548894,49922.730357143235
29,2016-02-02,49307.18062843902,50051.344682291674,50031.37199401446,49889.28368819118,49885.64522936179,49865.672541084576,50125.66104910018,49996.15691065605,50070.74027158342,49697.421134430166
30,2016-02-03,49215.89620097967,49905.19601389763,49933.03275947467,49593.473492676385,49581.52985513329,49609.366600710324,49904.130685771255,49686.70502322742,50001.964953100636,49121.733264990966
31,2016-02-04,49860.07810721777,50299.92429582964,50310.00981118829,50036.63665192896,50164.095837433786,50076.53581183275,50333.547320827965,49881.610912314805,50335.90968512851,49553.04330077215
32,2016-02-05,49602.10471607674,50226.1778874975,50336.76050061568,50020.768881728254,49743.19510885421,49756.132181012705,50325.69814875746,49813.92274113851,50270.07071160012,49444.36098264817
33,2016-02-06,48797.759179519126,50106.18696441829,50203.72760848288,49618.42396664691,49293.84560355377,49399.87036576205,49608.397474927326,49451.9129224294,49560.77198655218,48455.26460976147
34,2016-02-07,48797.759179519126,50106.18696441829,50203.72760848288,49618.42396664691,49293.84560355377,49399.87036576205,49608.397474927326,49451.9129224294,49560.77198655218,48455.26460976147
35,2016-02-08,48797.759179519126,50106.18696441829,50203.72760848288,49618.42396664691,49293.84560355377,49399.87036576205,49608.397474927326,49451.9129224294,49560.77198655218,48455.26460976147
36,2016-02-09,48187.42222774748,49745.75235598925,49843.293000053825,48967.65891470146,48909.55160668782,48742.81503425776,49122.85532159503,49008.27597946166,48704.515112016044,47488.52652947324
37,2016-02-10,47378.06734461497,49857.02908065367,49670.60751213277,49178.46027300193,48462.41317405423,48208.200631352716,48681.77675579151,49219.18105157748,48819.81061587028,47738.12402626226
