,Date,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
0,2016-01-04,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
1,2016-01-05,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
2,2016-01-06,49994.52163584176,49994.52163584176,50000.0,49994.52163584176,49994.52163584176,50000.0,49994.52163584176,49994.52163584176,49994.52163584176,49994.52163584176
3,2016-01-07,50025.04494182591,50025.04494182591,50000.0,50025.04494182591,50025.04494182591,50000.0,50025.04494182591,50025.04494182591,50025.04494182591,50025.04494182591
4,2016-01-08,50116.614859778354,50116.614859778354,50000.0,50116.614859778354,50116.614859778354,50000.0,50116.614859778354,50116.614859778354,50116.614859778354,50116.614859778354
5,2016-01-09,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,49779.728624052346,49779.728624052346
6,2016-01-10,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,49779.728624052346,49779.728624052346
7,2016-01-11,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,49779.728624052346,49779.728624052346
8,2016-01-12,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,49779.728624052346,49779.728624052346
9,2016-01-13,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,50000.0,49779.728624052346,49779.728624052346,49779.728624052346,49779.728624052346
10,2016-01-14,49337.69638448978,49574.36274274204,49763.33364174773,49337.69638448978,49337.69638448978,49763.33364174773,49574.36274274204,49779.728624052346,49337.69638448978,49543.06226580008
11,2016-01-15,49523.622012614695,49596.47944924729,49927.14256336741,49523.622012614695,49523.622012614695,49927.14256336741,49596.47944924729,49779.728624052346,49523.622012614695,49706.871187419754
12,2016-01-16,49548.742286936395,49443.50421502096,50105.23807191543,49548.742286936395,49548.742286936395,50105.23807191543,49443.50421502096,49779.728624052346,49548.742286936395,49884.96669596777
13,2016-01-17,49548.742286936395,49443.50421502096,50105.23807191543,49548.742286936395,49548.742286936395,50105.23807191543,49443.50421502096,49779.728624052346,49548.742286936395,49884.96669596777
14,2016-01-18,49548.742286936395,49443.50421502096,50105.23807191543,49548.742286936395,49548.742286936395,50105.23807191543,49443.50421502096,49779.728624052346,49548.742286936395,49884.96669596777
15,2016-01-19,49548.742286936395,49443.50421502096,50105.23807191543,49548.742286936395,49548.742286936395,50105.23807191543,49443.50421502096,49779.728624052346,49548.742286936395,49884.96669596777
16,2016-01-20,49298.616655963626,49347.66456760039,49950.952088363236,49298.616655963626,49298.616655963626,49950.952088363236,49347.66456760039,49779.728624052346,49298.616655963626,49730.68071241558
17,2016-01-21,49250.69665648398,49299.74456812075,49882.38126672685,49230.04583432724,49230.04583432724,49882.38126672685,49299.74456812075,49779.728624052346,49230.04583432724,49662.1098907792
18,2016-01-22,49393.55380645893,49299.74456812075,49882.38126672685,49294.553187916455,49294.553187916455,49882.38126672685,49299.74456812075,49779.728624052346,49294.553187916455,49662.1098907792
19,2016-01-23,49461.28216931529,49350.41102782938,49933.047726435485,49413.41358768347,49362.747127974835,49933.047726435485,49299.74456812075,49830.39508376098,49379.80903112256,49729.83825363556
20,2016-01-24,49461.28216931529,49350.41102782938,49933.047726435485,49413.41358768347,49362.747127974835,49933.047726435485,49299.74456812075,49830.39508376098,49379.80903112256,49729.83825363556
21,2016-01-25,49461.28216931529,49350.41102782938,49933.047726435485,49413.41358768347,49362.747127974835,49933.047726435485,49299.74456812075,49830.39508376098,49379.80903112256,49729.83825363556
22,2016-01-26,49179.756837716246,49240.27765391336,49822.91435251947,49271.947919936094,49331.41483414348,49822.91435251947,49299.74456812075,49720.26170984496,49177.08477960818,49448.312922036515
23,2016-01-27,49505.41109163705,49411.07784357647,49993.71454218258,49656.54481402302,49545.211538567295,49993.71454218258,49299.74456812075,49891.06189950807,49545.73554828968,49773.96717595732
24,2016-01-28,49485.48743086809,49448.15091984377,49960.259929839754,49588.07167291839,49510.193009805495,50030.787618449875,49344.28448277348,49857.60728716524,49568.787885754486,49780.03128914574
25,2016-01-29,49478.78097032402,49551.19012783708,49973.09830457249,49521.65810587885,49463.046735518685,50133.82682644318,49211.557305402435,50046.41245431505,49411.8959429303,49788.89365026629
